"Ⅰ. 기반시설, 조경시설, 휴양시설, 유희시설(총괄)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ⅱ. 운동시설, 교양시설(총괄) ",,,,,,,,,,,,,,,,,,,,,,,,,,"Ⅲ. 편익시설, 관리시설(총괄)",,,,,,,,,,,,,,,,,,,,,,Ⅳ. 건물현황(총괄),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관 리 청 별,기   반   시   설,,,조   경   시   설,,,,,,,휴   양   시   설,,,,,,,유   희   시   설,,,,,,,,,,,관 리 청 별,운   동   시   설,,,,,,,,,,,운  동  시  설,,,,,교   양   시   설,,,,,,,,,관 리 청 별,편   익   시   설,,,,,,편   익   시   설,,,,,,,관   리   시   설,,,,,,,,관 리 청 별,적  법  건  물,,부  적  격  건  물,,,,,,,
,광   장,도   로,산책등산로,관상용식수대,"그늘
시렁
(개소)",연   못,"분수
(기)","조각
(소)",기   타,,"야영장
야유회장",정   자(㎡),노인정(㎡),"야외
탁자
(기)","장의자
(기)",기   타,,"그네
(기)","미끄
럼틀
(기)","모래
밭
(기)","시소
(기)","정글
짐
(기)","사닥
다리
(기)","조합
놀이
(기)",유료시설,,기   타,,,운동장,테니스장,"수영장(실내,㎡)",수영장(실외),"궁도
장
(소)","야구
장
(소)","축구
장
(소)","농구
장
(소)","배구
장
(소)",배드민턴장,골프연습장,"게이
트볼
(소)",체력단련시설,,기   타,,동물원,식물원,"도서관
독서실",문화회관,"야외
음악당
(소)","동상
(기)","탑기
념비
(기)",기   타,,,주   차   장,휴게음식점(식당),매   점,자판기,화장실(수세식),"발효식
화장실
(기)","간   이
화장실
(기)","공중
전화
(기)","음수대
(기)","샘터
(소)","시계탑
(기)",기   타,,관리사무소,휀    스,"공원등
(기)",안   내   판 (기),,,기 타,,,,,계,,유  허  가,,무  허  가,,,
,개소,노선,노선,개소,,개소,,,종,기,개소,동,동,,,종,기,,,,,,,,종,기,종,기,,개소,개소,개소,개소,,,,,,개소,개소,,개소,기,종,기,개소,개소,개소,개소,,,,종,기,,개소,개소,개소,,개소,,,,,,,종,기,개소,개소,,종합,시설,기타,종,기,,동,면적(㎡),동,면적(㎡),동,면적(㎡),동,면적(㎡),,
합   계, 	818 , 	697 ," 	1,418 ", 	925 ," 	2,074 ", 	238 , 	301 , 	409 , 	352 , 	824 , 	96 ," 	1,965 ", 	216 ," 	2,134 "," 	39,322 ", 	669 ," 	3,402 ", 	849 , 	144 , 	392 , 	525 , 	36 , 	13 ," 	1,412 ", 	100 , 	293 ," 	1,400 "," 	2,740 ",합   계, 	132 ," 	2,453 ", 	5 , 	10 , 	7 , 	13 , 	57 , 	200 , 	29 , 	450 ," 	3,785 ", 	116 ," 	3,791 "," 	19,395 "," 	1,014 "," 	1,441 ", 	18 , 	13 , 	39 , 	37 , 	80 , 	46 , 	115 , 	167 , 	202 ,합   계, 	236 , 	58 , 	89 , 	24 , 	894 , 	92 , 	138 , 	174 ," 	1,346 ", 	203 , 	69 , 	66 , 	490 , 	268 ," 	1,445 "," 	43,086 "," 	1,140 "," 	8,237 "," 	3,446 ", 	694 ," 	4,410 ",합   계," 	1,671 "," 	632,648.95 "," 	1,778 "," 	108,152.49 ", 	630 ," 	49,141.25 "," 	2,166 "," 	144,661.79 ",,
소   계, 	174 , 	190 , 	511 , 	733 , 	370 , 	56 , 	71 , 	56 , 	44 , 	155 , 	7 , 	104 , 	2 ," 	1,295 "," 	8,508 ", 	40 , 	657 , 	37 , 	11 , 	36 , 	25 , 	5 , 	- 0, 	54 , 	15 , 	18 , 	111 , 	199 ,소   계, 	9 , 	13 , 	- 0, 	8 , 	2 , 	9 , 	19 , 	49 , 	16 , 	59 , 	- 0, 	28 , 	239 ," 	2,172 ", 	24 , 	55 , 	15 , 	6 , 	8 , 	2 , 	5 , 	27 , 	38 , 	28 , 	35 ,소   계, 	80 , 	42 , 	54 , 	13 , 	305 , 	- 0, 	31 , 	83 , 	382 , 	10 , 	7 , 	9 , 	75 , 	44 , 	96 ," 	16,904 ", 	263 ," 	5,983 "," 	1,169 ", 	53 ," 	2,563 ",소   계, 	616 ," 	297,518.99 ", 	2 , 	120.00 , 	1 , 	120.00 , 	1 , 	373.55 ,,
동부공원여가센터, 	8 , 	15 , 	6 , 	- 0, 	68 , 	8 , 	15 , 	11 , 	3 , 	4 , 	- 0, 	13 , 	1 , 	85 , 	920 , 	3 , 	35 , 	4 , 	3 , 	5 , 	- 0, 	- 0, 	- 0, 	10 , 	- 0, 	- 0, 	27 , 	35 ,동부공원여가센터, 	2 , 	3 , 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	6 , 	5 , 	5 , 	- 0, 	4 , 	20 , 	139 , 	12 , 	16 , 	- 0, 	1 , 	1 , 	- 0, 	2 , 	1 , 	5 , 	1 , 	1 ,동부공원여가센터, 	6 , 	1 , 	4 , 	- 0, 	21 , 	- 0, 	- 0, 	11 , 	23 , 	- 0, 	1 , 	- 0, 	- 0, 	7 , 	14 ," 	1,306 ", 	15 , 	142 , 	338 , 	7 , 	56 ,동부공원여가센터, 	29 ," 	16,759.97 ", 	2 , 	120.00 , 	1 , 	120.00 , 	1 , 	373.55 ,,
중부공원여가센터, 	32 , 	29 , 	156 , 	642 , 	50 , 	13 , 	5 , 	18 , 	- 0, 	- 0, 	- 0, 	19 , 	1 , 	72 , 	494 , 	2 , 	99 , 	- 0, 	- 0, 	1 , 	2 , 	- 0, 	- 0, 	1 , 	- 0, 	- 0, 	3 , 	9 ,중부공원여가센터, 	1 , 	1 , 	- 0, 	- 0, 	1 , 	1 , 	- 0, 	3 , 	- 0, 	8 , 	- 0, 	3 , 	58 , 	387 , 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	1 , 	- 0, 	10 , 	10 , 	- 0, 	- 0,중부공원여가센터, 	5 , 	3 , 	4 , 	- 0, 	20 , 	- 0, 	7 , 	- 0, 	22 , 	2 , 	- 0, 	- 0, 	- 0, 	7 , 	35 ," 	1,542 ", 	24 , 	70 , 	198 , 	2 , 	2 ,중부공원여가센터, 	62 ," 	32,265.90 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
서부공원여가센터, 	71 , 	30 , 	90 , 	1 , 	133 , 	14 , 	10 , 	13 , 	33 , 	134 , 	3 , 	22 , 	- 0, 	164 ," 	1,494 ", 	26 , 	449 , 	7 , 	5 , 	7 , 	4 , 	- 0, 	- 0, 	7 , 	1 , 	4 , 	41 , 	56 ,서부공원여가센터, 	2 , 	2 , 	- 0, 	- 0, 	- 0, 	1 , 	4 , 	5 , 	- 0, 	2 , 	- 0, 	3 , 	32 , 	223 , 	1 , 	16 , 	- 0, 	1 , 	2 , 	- 0, 	1 , 	2 , 	9 , 	16 , 	23 ,서부공원여가센터, 	8 , 	5 , 	8 , 	- 0, 	50 , 	- 0, 	6 , 	5 , 	69 , 	1 , 	4 , 	7 , 	73 , 	7 , 	19 ," 	5,052 ", 	58 , 	597 , 	141 , 	38 ," 	1,051 ",서부공원여가센터, 	124 ," 	59,341.82 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
북부공원여가센터, 	29 , 	47 , 	194 , 	1 , 	29 , 	10 , 	16 , 	- 0, 	5 , 	8 , 	1 , 	3 , 	- 0, 	88 , 	363 , 	5 , 	36 , 	5 , 	- 0, 	3 , 	2 , 	- 0, 	- 0, 	5 , 	- 0, 	- 0, 	6 , 	11 ,북부공원여가센터, 	2 , 	1 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	- 0, 	6 , 	- 0, 	- 0, 	37 , 	245 , 	1 , 	- 0, 	1 , 	- 0, 	1 , 	1 , 	1 , 	- 0, 	- 0, 	6 , 	6 ,북부공원여가센터, 	11 , 	2 , 	4 , 	- 0, 	6 , 	- 0, 	6 , 	- 0, 	15 , 	1 , 	- 0, 	2 , 	2 , 	5 , 	14 ," 	1,136 ", 	16 , 	378 , 	294 , 	- 0, 	- 0,북부공원여가센터, 	30 ," 	13,057.94 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
서울식물원, 	18 , 	27 , 	25 , 	2 , 	21 , 	2 , 	2 , 	4 , 	- 0, 	- 0, 	- 0, 	9 , 	- 0, 	43 , 	391 , 	3 , 	27 , 	- 0, 	- 0, 	1 , 	- 0, 	- 0, 	- 0, 	1 , 	- 0, 	- 0, 	8 , 	8 ,서울식물원, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	2 , 	10 , 	- 0, 	- 0, 	- 0, 	2 , 	3 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,서울식물원, 	2 , 	5 , 	2 , 	- 0, 	17 , 	- 0, 	- 0, 	- 0, 	13 , 	- 0, 	- 0, 	- 0, 	- 0, 	2 , 	6 ," 	1,025 ", 	7 , 	64 , 	26 , 	- 0, 	- 0,서울식물원, 	14 ," 	17,633.27 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
서울대공원, 	6 , 	5 , 	1 , 	85 , 	48 , 	5 , 	7 , 	- 0, 	3 , 	9 , 	1 , 	34 , 	- 0, 	787 , 	360 , 	- 0, 	- 0, 	4 , 	1 , 	3 , 	1 , 	- 0, 	- 0, 	6 , 	- 0, 	- 0, 	2 , 	7 ,서울대공원, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	2 , 	- 0, 	1 , 	1 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	10 , 	23 , 	1 , 	1 , 	- 0, 	- 0, 	- 0, 	4 , 	4 , 	- 0, 	- 0,서울대공원, 	2 , 	11 , 	1 , 	7 , 	49 , 	- 0, 	10 , 	58 , 	66 , 	6 , 	- 0, 	- 0, 	- 0, 	4 , 	3 ," 	1,282 ", 	- 0," 	2,913 ", 	- 0, 	2 , 	2 ,서울대공원, 	270 ," 	102,273.40 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
도심재창조과, 	1 , 	2 , 	2 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	11 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,도심재창조과, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,도심재창조과, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,도심재창조과, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
서울시설공단, 	6 , 	22 , 	34 , 	2 , 	10 , 	4 , 	14 , 	10 , 	- 0, 	- 0, 	1 , 	4 , 	- 0, 	44 , 	662 , 	- 0, 	- 0, 	1 , 	1 , 	5 , 	8 , 	- 0, 	- 0, 	2 , 	14 , 	14 , 	2 , 	5 ,서울시설공단, 	- 0, 	1 , 	- 0, 	- 0, 	- 0, 	- 0, 	2 , 	4 , 	- 0, 	14 , 	- 0, 	- 0, 	9 , 	123 , 	- 0, 	- 0, 	13 , 	1 , 	- 0, 	- 0, 	1 , 	10 , 	10 , 	5 , 	5 ,서울시설공단, 	3 , 	2 , 	3 , 	6 , 	16 , 	- 0, 	- 0, 	- 0, 	16 , 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	5 ," 	1,371 ", 	124 , 	170 , 	172 , 	4 ," 	1,452 ",서울시설공단, 	72 ," 	52,550.69 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
미래한강본부, 	3 , 	13 , 	3 , 	- 0, 	11 , 	- 0, 	2 , 	- 0, 	- 0, 	- 0, 	1 , 	- 0, 	- 0, 	12 ," 	3,824 ", 	- 0, 	- 0, 	16 , 	1 , 	11 , 	8 , 	5 , 	- 0, 	22 , 	- 0, 	- 0, 	22 , 	68 ,미래한강본부, 	2 , 	5 , 	- 0, 	8 , 	1 , 	5 , 	12 , 	29 , 	10 , 	24 , 	- 0, 	18 , 	81 ," 	1,045 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,미래한강본부, 	43 , 	13 , 	28 , 	- 0, 	126 , 	- 0, 	2 , 	9 , 	158 , 	- 0, 	2 , 	- 0, 	- 0, 	11 , 	- 0," 	4,190 ", 	19 ," 	1,649 ", 	- 0, 	- 0, 	- 0,미래한강본부, 	15 ," 	3,636.00 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
소   계, 	644 , 	507 , 	907 , 	192 ," 	1,704 ", 	182 , 	230 , 	353 , 	308 , 	669 , 	89 ," 	1,861 ", 	214 , 	839 ," 	30,814 ", 	629 ," 	2,745 ", 	812 , 	133 , 	356 , 	500 , 	31 , 	13 ," 	1,358 ", 	85 , 	275 ," 	1,289 "," 	2,541 ",소   계, 	123 ," 	2,440 ", 	5 , 	2 , 	5 , 	4 , 	38 , 	151 , 	13 , 	391 ," 	3,785 ", 	88 ," 	3,552 "," 	17,223 ", 	990 ," 	1,386 ", 	3 , 	7 , 	31 , 	35 , 	75 , 	19 , 	77 , 	139 , 	167 ,소   계, 	156 , 	16 , 	35 , 	11 , 	589 , 	92 , 	107 , 	91 , 	964 , 	193 , 	62 , 	57 , 	415 , 	224 ," 	1,349 "," 	26,182 ", 	877 ," 	2,254 "," 	2,277 ", 	641 ," 	1,847 ",소   계," 	1,055 "," 	335,129.96 "," 	1,776 "," 	108,032.49 ", 	629 ," 	49,021.25 "," 	2,165 "," 	144,288.24 ",,
종  로  구, 	17 , 	30 , 	43 , 	10 , 	64 , 	3 , 	5 , 	14 , 	5 , 	5 , 	- 0, 	45 , 	2 , 	2 ," 	1,386 ", 	16 , 	94 , 	5 , 	2 , 	10 , 	3 , 	1 , 	- 0, 	24 , 	- 0, 	- 0, 	19 , 	32 ,종  로  구, 	6 , 	3 , 	- 0, 	- 0, 	1 , 	- 0, 	- 0, 	3 , 	- 0, 	13 , 	- 0, 	- 0, 	43 , 	748 , 	46 , 	106 , 	- 0, 	- 0, 	2 , 	- 0, 	1 , 	9 , 	24 , 	8 , 	7 ,종  로  구, 	1 , 	3 , 	2 , 	1 , 	40 , 	- 0, 	6 , 	20 , 	43 , 	16 , 	- 0, 	- 0, 	- 0, 	11 , 	34 , 	987 , 	72 , 	81 , 	159 , 	8 , 	28 ,종  로  구, 	241 ," 	85,176.81 ", 	92 ," 	6,216.16 ", 	47 ," 	3,670.10 ", 	45 ," 	2,546.06 ",,
중      구, 	33 , 	27 , 	21 , 	- 0, 	18 , 	2 , 	6 , 	1 , 	1 , 	12 , 	- 0, 	31 , 	2 , 	- 0, 	505 , 	4 , 	13 , 	11 , 	2 , 	2 , 	10 , 	2 , 	1 , 	17 , 	- 0, 	- 0, 	15 , 	30 ,중      구, 	- 0, 	1 , 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	- 0, 	- 0, 	3 , 	- 0, 	2 , 	62 , 	205 , 	- 0, 	- 0, 	- 0, 	- 0, 	2 , 	1 , 	1 , 	2 , 	3 , 	2 , 	2 ,중      구, 	6 , 	- 0, 	- 0, 	- 0, 	10 , 	- 0, 	1 , 	4 , 	26 , 	- 0, 	2 , 	- 0, 	- 0, 	6 , 	14 , 	448 , 	16 , 	22 , 	10 , 	8 , 	56 ,중      구, 	15 ," 	21,599.12 ", 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,,
용  산  구, 	17 , 	7 , 	11 , 	4 , 	42 , 	25 , 	7 , 	5 , 	5 , 	17 , 	- 0, 	34 , 	7 , 	28 , 	614 , 	13 , 	20 , 	19 , 	2 , 	4 , 	4 , 	- 0, 	- 0, 	34 , 	- 0, 	- 0, 	30 , 	59 ,용  산  구, 	2 , 	2 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	- 0, 	5 , 	- 0, 	3 , 	85 , 	455 , 	1 , 	1 , 	- 0, 	- 0, 	- 0, 	1 , 	56 , 	3 , 	2 , 	3 , 	3 ,용  산  구, 	5 , 	- 0, 	1 , 	- 0, 	17 , 	- 0, 	- 0, 	3 , 	18 , 	- 0, 	1 , 	1 , 	1 , 	5 , 	56 , 	728 , 	14 , 	33 , 	76 , 	3 , 	12 ,용  산  구, 	34 ," 	11,721.46 ", 	9 ," 	3,907.81 ", 	7 ," 	3,656.71 ", 	2 , 	251.10 ,,
성  동  구, 	18 , 	17 , 	6 , 	2 , 	38 , 	2 , 	3 , 	1 , 	4 , 	6 , 	- 0, 	70 , 	7 , 	12 ," 	1,254 ", 	16 , 	28 , 	28 , 	3 , 	13 , 	19 , 	3 , 	4 , 	32 , 	- 0, 	- 0, 	36 , 	150 ,성  동  구, 	3 , 	1 , 	- 0, 	1 , 	1 , 	1 , 	2 , 	8 , 	1 , 	22 , 	- 0, 	2 , 	79 , 	611 , 	5 , 	14 , 	- 0, 	- 0, 	1 , 	1 , 	- 0, 	- 0, 	- 0, 	- 0, 	- 0,성  동  구, 	4 , 	- 0, 	- 0, 	1 , 	18 , 	- 0, 	5 , 	1 , 	49 , 	- 0, 	4 , 	2 , 	2 , 	5 , 	51 , 	933 , 	44 , 	28 , 	32 , 	8 , 	21 ,성  동  구, 	27 ," 	3,046.09 ", 	18 ," 	1,529.00 ", 	4 , 	172.00 , 	14 ," 	1,357.00 ",,
광  진  구, 	14 , 	8 , 	8 , 	- 0, 	16 , 	4 , 	2 , 	3 , 	- 0, 	- 0, 	2 , 	44 , 	7 , 	52 , 	613 , 	7 , 	48 , 	31 , 	4 , 	11 , 	23 , 	- 0, 	- 0, 	44 , 	- 0, 	- 0, 	34 , 	67 ,광  진  구, 	7 , 	1 , 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	2 , 	1 , 	7 , 	- 0, 	2 , 	178 , 	363 , 	7 , 	7 , 	- 0, 	- 0, 	- 0, 	- 0, 	1 , 	- 0, 	3 , 	- 0, 	- 0,광  진  구, 	4 , 	1 , 	1 , 	- 0, 	24 , 	- 0, 	4 , 	- 0, 	22 , 	1 , 	- 0, 	- 0, 	- 0, 	4 , 	41 , 	579 , 	49 , 	63 , 	62 , 	12 , 	25 ,광  진  구, 	33 ," 	1,756.72 ", 	11 , 	385.96 , 	8 , 	321.96 , 	3 , 	64.00 ,,
